year,month_number,sport,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2019,1,E - Hearthstone,1503.0,-185.0,7303.0,1360.0,-79.42,-113.6,Normal
2019,1,E - Dota2,25237663.0,588399.0,11414381.0,180948.0,121.1,225.18,Normal
2019,1,E - PUBG,245.0,-257.0,214.0,190.0,14.49,-235.26,Normal
2019,1,E - Starcraft: Brood War,11662.0,-1098.0,22494.0,2735.0,-48.16,-140.15,Normal
2019,1,E - Warcraft 3,36620.0,1489.0,65020.0,-3748.0,-43.68,-139.73,Normal
2019,1,Tennis,99255182.85092558,843103.0,20954787.513501063,56269.0,373.66,1398.34,Anomaly
2019,1,E - Artifact,24455.0,1073.0,39914.0,3399.0,-38.73,-68.43,Normal
2019,1,E - Call of Duty,47992.0,91.0,27063.0,942.0,77.33,-90.34,Normal
2019,1,E - Team Fortress 2,1247.0,-394.0,4112.0,-474.0,-69.67,-16.88,Normal
2019,2,E - Starcraft2,743483.0,10069.0,342851.0,-8797.0,116.85,-214.46,Normal
2019,2,E - Arena of Valor,12797.0,1751.0,140.0,140.0,9040.71,1150.71,Anomaly
2019,2,E - Fifa,851.0,409.0,10788.0,-2203.0,-92.11,-118.57,Normal
2019,2,E - Overwatch,771478.0,4972.0,440532.0,5236.0,75.12,-5.04,Normal
2019,2,E - CSGO,16893781.0,326208.0,11539445.0,87600.0,46.4,272.38,Normal
2019,2,E - Rocket League,3801.0,-267.0,5870.0,1443.0,-35.25,-118.5,Normal
2019,2,E - League of Legends,8367098.0,112135.0,6643906.0,70178.0,25.94,59.79,Normal
2019,2,E - World of Warcraft,970.0,-418.0,3583.0,256.0,-72.93,-263.28,Normal
2019,2,Soccer,75897177.75485057,939454.0,64278795.020717174,2303544.0,18.07,-59.22,Normal
2019,2,E - Rainbow Six,22551.0,405.0,48012.0,3254.0,-53.03,-87.55,Normal
2019,2,E - Hearthstone,35661.0,5231.0,1503.0,-185.0,2272.65,-2927.57,Anomaly
2019,2,E - Dota2,19580862.0,318018.0,25237663.0,588399.0,-22.41,-45.95,Normal
2019,2,E - PUBG,496.0,496.0,245.0,-257.0,102.45,-293.0,Normal
2019,2,E - Starcraft: Brood War,19045.0,1101.0,11662.0,-1098.0,63.31,-200.27,Normal
2019,2,E - Warcraft 3,12741.0,-3131.0,36620.0,1489.0,-65.21,-310.28,Normal
2019,2,Tennis,91740089.22863483,726909.0,99255182.85092558,843103.0,-7.57,-13.78,Normal
2019,2,E - Call of Duty,55383.0,-1176.0,47992.0,91.0,15.4,-1392.31,Anomaly
2019,2,E - Team Fortress 2,546.0,-662.0,1247.0,-394.0,-56.21,68.02,Normal
2019,3,E - Starcraft2,681881.0,-23055.0,743483.0,10069.0,-8.29,-328.97,Normal
2019,3,E - Hearthstone,29149.0,-648.0,35661.0,5231.0,-18.26,-112.39,Normal
2019,3,E - Dota2,22084074.0,310732.0,19580862.0,318018.0,12.78,-2.29,Normal
2019,3,E - PUBG,1482.0,642.0,496.0,496.0,198.79,29.44,Normal
2019,3,E - Starcraft: Brood War,20266.0,-3140.0,19045.0,1101.0,6.41,-385.2,Normal
2019,3,E - Warcraft 3,38555.0,-2944.0,12741.0,-3131.0,202.61,-5.97,Normal
2019,3,Tennis,90162163.81273898,3778004.0,91740089.22863483,726909.0,-1.72,419.74,Normal
2019,3,E - Pro Evolution Soccer,75.0,75.0,,,,,Normal
2019,3,E - Dota Auto Chess,15333.0,2131.0,,,,,Normal
2019,3,E - Call of Duty,60984.0,-1230.0,55383.0,-1176.0,10.11,4.59,Normal
2019,3,E - Team Fortress 2,188.0,-81.0,546.0,-662.0,-65.57,-87.76,Normal
2019,3,E - Arena of Valor,7436.0,-613.0,12797.0,1751.0,-41.89,-135.01,Normal
2019,3,E - Rainbow Six,6622.0,259.0,22551.0,405.0,-70.64,-36.05,Normal
2019,3,E - Fifa,770.0,-16.0,851.0,409.0,-9.52,-103.91,Normal
2019,3,E - Overwatch,870239.0,6902.0,771478.0,4972.0,12.8,38.82,Normal
2019,3,E - CSGO,13877377.0,393009.0,16893781.0,326208.0,-17.86,20.48,Normal
2019,3,E - Rocket League,1464.0,348.0,3801.0,-267.0,-61.48,-230.34,Normal
2019,3,E - League of Legends,9966983.0,295797.0,8367098.0,112135.0,19.12,163.79,Normal
2019,3,E - Honor of Kings,345802.0,3505.0,196303.0,-4138.0,76.16,-184.7,Normal
2019,3,E - Magic,25984.0,-1768.0,,,,,Normal
2019,3,E - World of Warcraft,31.0,31.0,970.0,-418.0,-96.8,-107.42,Normal
2019,3,Soccer,84009443.15188809,681645.0,75897177.75485057,939454.0,10.69,-27.44,Normal
2019,3,E - Street Fighter,507.0,-91.0,7184.0,-443.0,-92.94,-79.46,Normal
2019,3,E - Vainglory,6106.0,-3479.0,,,,,Normal
2019,4,E - Starcraft2,623625.0,-9809.0,681881.0,-23055.0,-8.54,-57.45,Normal
2019,4,E - Arena of Valor,572.0,-200.0,7436.0,-613.0,-92.31,-67.37,Normal
2019,4,E - Rainbow Six,9478.0,-516.0,6622.0,259.0,43.13,-299.23,Normal
2019,4,E - Fifa,79.0,-57.0,770.0,-16.0,-89.74,256.25,Normal
2019,4,E - Overwatch,1014262.0,-11618.0,870239.0,6902.0,16.55,-268.33,Normal
2019,4,E - NBA2K,20473.0,-269.0,3294.0,1106.0,521.52,-124.32,Normal
2019,4,E - CSGO,16619973.0,343431.0,13877377.0,393009.0,19.76,-12.61,Normal
2019,4,E - Rocket League,16437.0,-2312.0,1464.0,348.0,1022.75,-764.37,Anomaly
2019,4,E - League of Legends,3887074.0,195863.0,9966983.0,295797.0,-61.0,-33.78,Normal
2019,4,E - Honor of Kings,207356.0,3261.0,345802.0,3505.0,-40.04,-6.96,Normal
2019,4,E - Other Esports,426.0,65.0,39558.0,1255.0,-98.92,-94.82,Normal
2019,4,E - World of Warcraft,132.0,-77.0,31.0,31.0,325.81,-348.39,Normal
2019,4,Soccer,88394005.24522361,1736121.0,84009443.15188809,681645.0,5.22,154.7,Normal
2019,4,E - Street Fighter,49.0,49.0,507.0,-91.0,-90.34,-153.85,Normal
2019,4,E - Hearthstone,39931.0,-3510.0,29149.0,-648.0,36.99,441.67,Normal
2019,4,E - Dota2,15301516.0,-52838.0,22084074.0,310732.0,-30.71,-117.0,Normal
2019,4,E - PUBG,5062.0,320.0,1482.0,642.0,241.57,-50.16,Normal
2019,4,E - Starcraft: Brood War,11366.0,-834.0,20266.0,-3140.0,-43.92,-73.44,Normal
2019,4,E - Warcraft 3,36522.0,-5973.0,38555.0,-2944.0,-5.27,102.89,Normal
2019,4,Tennis,94680584.77801287,2918667.0,90162163.81273898,3778004.0,5.01,-22.75,Normal
